signal,cell_sigs,bg_sigs,cell_sigs.1,bg_sigs.1,cell_sigs.2,bg_sigs.2,cell_sigs.3,bg_sigs.3,cell_sigs.4,bg_sigs.4,cell_sigs.5,bg_sigs.5,cell_sigs.6,bg_sigs.6,cell_sigs.7,bg_sigs.7,cell_sigs.8,bg_sigs.8,cell_sigs.9,bg_sigs.9,cell_sigs.10,bg_sigs.10,cell_sigs.11,bg_sigs.11,cell_sigs.12,bg_sigs.12,cell_sigs.13,bg_sigs.13,cell_sigs.14,bg_sigs.14,cell_sigs.15,bg_sigs.15,cell_sigs.16,bg_sigs.16,cell_sigs.17,bg_sigs.17,cell_sigs.18,bg_sigs.18,cell_sigs.19,bg_sigs.19
10,0.008486685429746699,0.00014075200249270722,0.006078553615960099,0.00012523135963050382,0.009664,0.00026453333333333333,0.011278195488721804,0.00013839327536429368,0.011423748441993072,0.00022603097403761467,0.016346336306215944,0.00028449472594539987,0.013577595372772509,0.0002472548093268046,0.013966956225515244,8.550601748598058e-05,0.010241810249205058,8.941841032566802e-05,0.005774616040213591,7.42700054217104e-05,0.009704069845848946,0.00020374873561250606,0.005066200349737697,0.0001989054643442509,0.01177305459579567,0.0001236268394962589,0.009253577477234235,0.00014281857141814673,0.009419511191385262,0.0002693422868541396,0.010162082588514518,0.00020187850836007743,0.008871160549131129,0.00013687781699435868,0.010449540640998668,0.00010133479868327443,0.004951631018949047,5.8874900648605153e-05,0.016306249562600603,0.00021000371545035028
11,0.0063217146568521326,0.00010207206287639073,0.004121640343585481,8.384133398991356e-05,0.008016,0.0002272,0.008854372774040364,0.00010219811103824765,0.009048707958348464,0.00017815249185230712,0.014801160237469165,0.00018377943975305026,0.011770084634032238,0.0001843372908820374,0.010219724067450179,4.886058142056033e-05,0.006951120313539895,5.7556677910774814e-05,0.003948306750387004,3.289100240104318e-05,0.007382129266419227,0.00012297260965961904,0.003767174619035723,0.00014112287135039031,0.010446840935794972,9.299364032904433e-05,0.008566309123487397,8.235523461338388e-05,0.007468544472133946,0.00018761877246677248,0.008494689879977767,0.00014189175159022585,0.007298259742547596,7.387056790171739e-05,0.008953409542511162,7.83516484664493e-05,0.0034178331179575126,2.8347174386365447e-05,0.012051228217509972,0.00016477214596873638
12,0.005066031608573284,6.876433709567376e-05,0.003082571349404267,7.004465877638348e-05,0.005664,0.00016426666666666666,0.007386888273314866,7.984227424863097e-05,0.007125121450933823,0.000124706744296615,0.010545148960394697,0.00013913245721417365,0.00882490537149662,0.00013797701413326152,0.007891898029864305,3.766336484501525e-05,0.005878873031132145,2.7750541135552143e-05,0.002991668550954029,2.864700209123115e-05,0.005881076770626279,0.00010127156089615686,0.003077691731201599,9.778592660499485e-05,0.008201584476320106,7.767704074543702e-05,0.005645418620063327,7.193052137118338e-05,0.005959593650213006,0.00014963460380785536,0.006677081612113383,0.00011305196468164336,0.0055743604585320435,5.4316594045380425e-05,0.007246885008298852,7.208351658913336e-05,0.0024154297653409982,2.180551875874265e-05,0.009881727202743369,0.0001281561135312394
13,0.004459839792162806,5.1573252821755314e-05,0.0027362150180105294,5.730926627158649e-05,0.0048,9.386666666666667e-05,0.0056885635140482785,5.7486437459014297e-05,0.006075000245355422,9.909732359284584e-05,0.008240939033316165,9.55237765948058e-05,0.00714498362607919,0.00011258924353274139,0.006188610685289275,3.05378633878502e-05,0.004880573837166309,3.391732805456373e-05,0.002713373802028073,1.697600123924809e-05,0.00457351932311914,7.836489831250233e-05,0.0025281039220584564,6.111620412812178e-05,0.006747402831582499,5.798426985222763e-05,0.0042217913158734445,6.880310739852323e-05,0.00452685246576282,0.00010014008100987243,0.0054978894713914464,8.998013515477737e-05,0.004479621497149903,2.824462890359782e-05,0.005400098183603338,4.387692314121161e-05,0.0019806524075796188,1.0902759379371325e-05,0.0076842326264959055,0.0001087711551819763
14,0.00329075557479974,3.545661131495678e-05,0.0018703241895261845,3.820617751439099e-05,0.003248,8e-05,0.004484896451655455,3.406603701274921e-05,0.005024879039777021,6.569373137053825e-05,0.006831304724985768,7.579604012413938e-05,0.006007315102283843,9.82396340628822e-05,0.0036904559132458978,1.8322718032710125e-05,0.0034755601567699477,1.130577601818791e-05,0.001913276398865949,9.549000697077051e-06,0.003963716746703255,5.666384954904015e-05,0.0019085685735698227,4.6670555879656635e-05,0.005095452483160577,3.391532764941617e-05,0.003730885348911416,3.4401553699261616e-05,0.003901933438502633,7.942144355955399e-05,0.004153460215409112,8.190499482037427e-05,0.003170968026072404,3.258995642722826e-05,0.004628655585945719,2.925128209414107e-05,0.001316409222110844,7.631931565559928e-06,0.005724683322835748,7.215512274447932e-05
15,0.00241033412715595,2.686106917799756e-05,0.0014027431421446384,3.289976397072558e-05,0.002832,6.506666666666667e-05,0.0032977179791584222,2.5549527759561912e-05,0.003356462171101057,6.23533721483075e-05,0.0052048035999891565,6.645132284856055e-05,0.00441245268574831,7.505949568849427e-05,0.0029523647305967184,1.3233074134735089e-05,0.003031871626118465,1.7472562937199498e-05,0.0016175882281321205,9.549000697077051e-06,0.003078330313637883,4.340209752692437e-05,0.0014089432925306021,3.333611134261188e-05,0.004013541339475796,2.6257027857612514e-05,0.003264524680297489,3.3359082375041565e-05,0.0030026597163477294,5.8702806109235564e-05,0.0033873608628381727,4.499006757738869e-05,0.0029696367228297113,2.281296949905978e-05,0.002922131051733408,2.7161904801702423e-05,0.0009178633108295794,7.631931565559928e-06,0.005094828189516411,4.630851161212852e-05
16,0.0018618748646893268,2.9009954712237367e-05,0.0010563868107509005,1.5919240630996246e-05,0.002288,6.08e-05,0.0023084025854108957,2.2355836789616672e-05,0.003042407231114993,4.119776374084602e-05,0.0036867358833256527,5.191509597543793e-05,0.003902096712456939,5.7398437879436786e-05,0.0032930221995117245,1.2215145355140082e-05,0.0017377800783849738,3.0833934595057935e-06,0.0009044579340093577,4.244000309812022e-06,0.00228675966155957,2.652350404423156e-05,0.0011591306520109918,2.3335277939828317e-05,0.0030130643678963225,1.641064241100782e-05,0.002331803343069635,2.084942648440098e-05,0.0022177004503989572,4.949452279798293e-05,0.002628772288233615,3.114696986126909e-05,0.002076229064690264,1.8467641975429347e-05,0.0022675736961451248,1.6715018339509183e-05,0.0007729375249091194,5.4513796896856625e-06,0.003961088949541606,5.707793291727469e-05
17,0.0015299126795121599,1.719108427391844e-05,0.0008832086450540316,1.379667521353008e-05,0.001792,3.4133333333333334e-05,0.0021435166864529746,1.809758216302302e-05,0.002443740001766559,3.340359222230759e-05,0.003253002249993223,3.530226526329779e-05,0.0028813847658741972,2.8699218939718393e-05,0.002498154772043377,3.0537863387850205e-06,0.0014419877246173187,4.111191279341059e-06,0.0005913763414676569,4.244000309812022e-06,0.0019818583733516274,2.5317890224039215e-05,0.0008593554833874594,3.444731505403228e-05,0.0024430251631591808,1.8598728065808865e-05,0.0016690802876708967,1.9806955160180932e-05,0.0017528216618273547,3.568209783110397e-05,0.0019302699373601117,2.653260395589589e-05,0.0016609832517522115,1.629497821361413e-05,0.00222081959931739,1.567032969328986e-05,0.0007125517807755945,4.36110375174853e-06,0.0033452305969626987,2.8000495393380038e-05
18,0.001212383632820957,9.669984904079122e-06,0.0004502632308118592,9.551544378597748e-06,0.001536,3.093333333333333e-05,0.0014509959108297058,9.581072909835716e-06,0.0019530291580383344,2.226906148153839e-05,0.00284637696874407,2.2842642229192688e-05,0.0023922936248033004,2.8699218939718393e-05,0.0011923011412025208,8.143430236760055e-06,0.0013680396361754048,8.222382558682117e-06,0.0005739829196597846,6.366000464718034e-06,0.0014951890094812574,1.4467365842308124e-05,0.0007894079440419685,2.000166680556713e-05,0.0018031852394746332,1.641064241100782e-05,0.0013990820058417811,7.297299269540343e-06,0.0013793944382206574,2.992692076157107e-05,0.0015772633729401692,1.6150280668806196e-05,0.0012583206452668268,8.690655047260869e-06,0.001659770437384576,1.1491575108412564e-05,0.0004589316554147897,2.180551875874265e-06,0.0027433690251242216,3.553909030698236e-05
19,0.0009814534170455365,1.6116641506798538e-05,0.0004675810473815461,5.306413543665416e-06,0.00088,3.2e-05,0.001005803983643319,1.1710200223132543e-05,0.0016193457843031414,2.338251455561531e-05,0.0024397516874949173,3.737886910231531e-05,0.0016905541615276655,1.9868690035189656e-05,0.0009084199171066825,4.071715118380028e-06,0.0008134289728610515,4.111191279341059e-06,0.00048701581062042336,1.0610000774530056e-06,0.0012137416665200795,1.2056138201923436e-05,0.00046964776417686736,7.778425979942772e-06,0.0015123489105271118,1.4222556756206778e-05,0.0011290837240126653,9.38224191798044e-06,0.0010593139608434882,3.338002700329081e-05,0.0013894939237806252,1.3843097716119595e-05,0.0012331542323614903,2.1726637618152172e-06,0.0014727540500736377,9.402197815973916e-06,0.0004106230601079697,4.36110375174853e-06,0.0020295332073623066,1.7231074088233868e-05
20,0.0005484592624666234,1.2893313205438829e-05,0.00024244943197561651,5.306413543665416e-06,0.000688,1.28e-05,0.001022292573539111,3.193690969945239e-06,0.0012660339768188198,1.0021077666692276e-05,0.0018704762937461032,1.7651132631648896e-05,0.0014991706715434016,2.2076322261321842e-05,0.0006245386930108442,1.017928779595007e-06,0.0005176366190933965,1.0277978198352647e-06,0.00026090132711808394,1.0610000774530056e-06,0.0010085196456108873,7.233682921154062e-06,0.0004496627529352985,1.666805567130594e-05,0.001326213660000698,5.470214137002607e-06,0.0008099948454873469,1.146718456642054e-05,0.000937378540890281,2.0718637450318436e-05,0.001149149028856409,1.0382323287089697e-05,0.0010318229291187981,5.431659404538043e-06,0.0012156065175210977,5.22344323109662e-06,0.0002777744230142148,3.2708278138113975e-06,0.001735600811813283,1.0769421305146169e-05
21,0.0007793894782420437,1.1818870438318928e-05,0.00020781379883624273,4.245130834932333e-06,0.00056,1.1733333333333333e-05,0.0006265664160401002,4.258254626593651e-06,0.0011678918080731749,1.1134530740769195e-05,0.001328309252080566,1.1421321114596344e-05,0.0011908306043465317,1.3245793356793105e-05,0.00045420995855334126,0.0,0.00018487022110478445,3.0833934595057935e-06,0.00020872106169446714,2.122000154906011e-06,0.0006918913847795622,8.439296741346405e-06,0.0002797901573819635,5.55601855710198e-06,0.0008957758931583662,4.376171309602086e-06,0.0006627230553987384,3.127413972660147e-06,0.0007544754109604701,5.755177069532898e-06,0.0009163149118985744,1.0382323287089697e-05,0.0007424091807074278,1.0863318809076086e-06,0.0008883278397269561,3.134065938657972e-06,0.00024154297653409984,0.0,0.0013156973896003919,9.692479174631551e-06
22,0.00043299415457891317,1.0744427671199024e-06,0.00017317816569686895,5.306413543665416e-06,0.000336,6.4e-06,0.0006925207756232687,6.387381939890478e-06,0.0008538368680871109,6.680718444461518e-06,0.001138550787497628,1.1421321114596344e-05,0.0008612257049291881,1.4349609469859196e-05,0.00034065746891500596,2.035857559190014e-06,0.0002957923537676551,1.0277978198352647e-06,8.696710903936132e-05,0.0,0.000598075603792503,8.439296741346405e-06,0.0001798651011741194,8.889629691363169e-06,0.0007561744552635559,6.5642569644031285e-06,0.0003190888785253185,1.042471324220049e-06,0.0006325399910072628,1.2661389552972377e-05,0.0006083730152769224,4.614365905373198e-06,0.0005284946710120673,4.3453275236304345e-06,0.0008415737428992215,4.178754584877296e-06,0.0001328486370937549,1.0902759379371325e-06,0.0010357617747917978,8.615537044116934e-06
23,0.0004041278776069856,2.148885534239805e-06,0.0002251316154059296,1.0612827087330832e-06,0.000512,4.266666666666667e-06,0.0003957261574990107,5.322818283242065e-06,0.0005103392774773537,7.794171518538437e-06,0.0008945756187481363,1.3497924953613862e-05,0.0008399608727087144,5.5190805653304605e-06,0.0002838812240958383,1.017928779595007e-06,0.00018487022110478445,1.0277978198352647e-06,6.957368723148905e-05,1.0610000774530056e-06,0.0005277137680522085,6.028069100961718e-06,0.0001798651011741194,4.444814845681584e-06,0.000663106830000349,4.376171309602086e-06,0.00029454358017721706,3.127413972660147e-06,0.00041153204234207455,1.3812424966878955e-05,0.0005107329017139595,4.614365905373198e-06,0.0004152458129380529,0.0,0.0005142950651050799,2.089377292438648e-06,8.454004178693494e-05,3.2708278138113975e-06,0.0006858422562810554,6.461652783087701e-06
24,0.00030309590820523923,3.223328301359707e-06,8.658908284843447e-05,3.1838481261992495e-06,0.000224,6.4e-06,0.0002473288484368817,1.0645636566484129e-06,0.00039256867498257974,7.794171518538437e-06,0.0006777088020819215,5.191509597543793e-06,0.000680474631055161,1.3245793356793105e-05,0.00045420995855334126,1.017928779595007e-06,0.00025881830954669824,1.0277978198352647e-06,0.00010436053084723357,2.122000154906011e-06,0.00041044404181838436,4.822455280769375e-06,0.00010991756182862853,3.3336111342611886e-06,0.0003722705010528275,5.470214137002607e-06,0.00019636238678481137,3.127413972660147e-06,0.0003581852961125464,9.208283311252637e-06,0.00043562512205014194,3.460774429029899e-06,0.0002894137484113702,2.1726637618152172e-06,0.0003272786777941417,1.044688646219324e-06,9.661719061363993e-05,0.0,0.000699839037021485,7.538594913602317e-06
25,0.00024536335426138413,0.0,0.00015586034912718204,1.0612827087330832e-06,0.000128,6.4e-06,0.00018137448885371322,2.1291273132968257e-06,0.0004907108437282247,1.1134530740769195e-06,0.000379516929165876,7.26811343656131e-06,0.00046782630885042317,4.415264452264368e-06,0.00011355248963833532,0.0,0.00011092213266287066,0.0,5.2180265423616786e-05,0.0,0.00026972037033779546,4.822455280769375e-06,0.00011991006744941294,3.3336111342611886e-06,0.00041880431368443097,2.188085654801043e-06,0.00019636238678481137,1.042471324220049e-06,0.0002667337311476409,9.208283311252637e-06,0.0003229634525544156,4.614365905373198e-06,0.0002516641290533654,1.0863318809076086e-06,0.00030390162938027444,3.134065938657972e-06,2.4154297653409983e-05,0.0,0.0005878647910980474,3.2308263915438504e-06
26,0.0001010319694017464,3.223328301359707e-06,6.927126627874758e-05,3.1838481261992495e-06,0.000112,6.4e-06,0.00026381743833267377,1.0645636566484129e-06,0.0003238691568606283,2.226906148153839e-06,0.0002710835208327686,8.306415356070069e-06,0.0003296048994173436,1.103816113066092e-06,0.00039743371373417364,0.0,7.394808844191378e-05,0.0,6.957368723148905e-05,0.0,0.0002521299114027218,3.616841460577031e-06,9.992505620784411e-05,2.222407422840792e-06,0.0002908363289475215,0.0,0.00019636238678481137,1.042471324220049e-06,0.0002667337311476409,4.604141655626319e-06,0.00026287722882336153,4.614365905373198e-06,0.00011324885807401441,1.0863318809076086e-06,0.00011688524206933633,2.089377292438648e-06,3.623144648011498e-05,1.0902759379371325e-06,0.00043390020295332074,3.2308263915438504e-06
27,0.0002020639388034928,0.0,1.7317816569686895e-05,0.0,0.000128,4.266666666666667e-06,0.00013190871916633689,0.0,0.00023554120498954785,4.453812296307678e-06,0.0004608419854157066,4.1532076780350346e-06,0.0002551779866456854,1.103816113066092e-06,0.0002838812240958383,0.0,3.697404422095689e-05,1.0277978198352647e-06,6.957368723148905e-05,0.0,0.0002110855072208834,1.2056138201923437e-06,8.99325505870597e-05,2.222407422840792e-06,0.0001396014378948103,1.0940428274005215e-06,9.818119339240569e-05,1.042471324220049e-06,0.00014479831119443366,6.906212483439478e-06,0.00013519400339487164,3.460774429029899e-06,0.0001635816838846875,1.0863318809076086e-06,0.00011688524206933633,2.089377292438648e-06,3.623144648011498e-05,0.0,0.00033592273777031283,6.461652783087701e-06
28,0.00012989824637367397,1.0744427671199024e-06,0.0,1.0612827087330832e-06,6.4e-05,3.2e-06,0.00018137448885371322,1.0645636566484129e-06,0.00019628433749128987,1.1134530740769195e-06,0.00029819187291604544,2.0766038390175173e-06,0.00023391315442521159,5.5190805653304605e-06,0.00022710497927667063,0.0,3.697404422095689e-05,0.0,0.0,0.0,0.00014072367148058892,2.4112276403846874e-06,8.99325505870597e-05,2.222407422840792e-06,0.00019776870368431462,0.0,9.818119339240569e-05,1.042471324220049e-06,0.00016004023868858457,1.1510354139065797e-06,9.764011356296285e-05,3.460774429029899e-06,3.7749619358004805e-05,0.0,7.01311452416018e-05,0.0,1.2077148826704991e-05,0.0,0.0002099517111064455,1.0769421305146167e-06
